drifter_id,segment_id,L,omega_ast_bar,sense,npoints,duration_hours,xi_bar,kappa_bar,rho_x
391,2446,1.669674,0.406365,ccw,96,96.0000,0.832124,5.676836,0.056702
176,2453,1.847271,0.396746,ccw,116,116.0000,0.789720,4.089368,0.075563
194,2467,3.031582,0.388364,ccw,195,195.0000,0.743838,6.720324,0.047485
71,2518,2.331282,0.472020,ccw,116,116.0000,0.903382,6.240045,0.007495
294,2557,4.405350,0.625019,ccw,147,147.0000,0.826444,3.534335,0.004714
47,2574,1.839322,0.413412,ccw,114,114.0000,0.882772,6.489249,0.027148
40,2579,3.857629,1.163341,ccw,91,91.0000,0.910766,2.598328,0.000000
40,2579,5.246585,0.614679,ccw,152,152.0000,0.824091,3.887478,0.000000
40,2579,2.476217,1.049981,ccw,67,67.0000,0.901110,2.450747,0.059539
609,2582,12.691764,0.349805,ccw,858,858.0000,0.903259,24.402072,0.000000
566,2589,1.602658,0.586450,ccw,62,62.0000,0.884704,3.226924,0.079196
567,2590,2.651755,0.997986,ccw,67,67.0000,0.928223,2.351497,0.011328
561,2592,2.222523,0.529149,ccw,96,96.0000,0.766694,4.806968,0.049982
510,2616,1.575659,0.338950,ccw,122,122.0000,0.873286,15.050681,0.052638
510,2616,11.545682,0.468762,ccw,598,598.0000,0.925259,16.980154,0.000000
500,2618,2.784280,0.391674,ccw,184,184.0000,0.723293,15.221975,0.067801
425,2623,6.373712,0.494241,ccw,212,212.0000,0.768441,7.182409,0.000000
425,2623,3.451451,1.167388,ccw,80,80.0000,0.887582,3.231838,0.013236
544,2629,1.879423,0.516787,ccw,90,90.0000,0.948883,4.978707,0.007066
505,2631,4.328382,1.007442,ccw,114,114.0000,0.809621,2.462132,0.016794
505,2631,4.759939,0.750153,ccw,179,179.0000,0.788504,3.494385,0.023586
428,2636,2.981292,1.301847,ccw,67,67.0000,0.915055,1.596329,0.000000
587,2642,2.197160,0.342895,ccw,161,161.0000,0.919746,4.865791,0.006408
487,2648,1.560625,0.350028,ccw,128,128.0000,0.840705,9.809140,0.071011
678,2650,5.955537,1.030628,ccw,141,141.0000,0.907483,2.044023,0.000000
545,2653,2.175548,0.344186,ccw,161,161.0000,0.780709,5.833859,0.061227
662,2655,3.629938,0.325585,ccw,242,242.0000,0.875423,17.249668,0.000000
662,2655,2.401407,0.368461,ccw,164,164.0000,0.909413,24.370419,0.009062
666,2657,3.007150,0.406181,ccw,202,202.0000,0.882516,8.079640,0.006350
661,2658,4.439330,0.996355,ccw,114,114.0000,0.825684,3.017268,0.011810
661,2658,4.555326,0.778616,ccw,168,168.0000,0.800030,3.514760,0.027363
594,2687,1.872586,0.357862,ccw,159,159.0000,0.932765,9.326511,0.012832
596,2691,2.282935,0.432247,ccw,142,142.0000,0.904235,7.549938,0.009084
562,2700,2.722940,0.785128,ccw,85,85.0000,0.867354,2.875248,0.051913
629,2705,4.273554,0.609708,ccw,195,195.0000,0.755396,1.768292,0.027069
629,2705,5.761417,1.081232,ccw,140,140.0000,0.823697,2.043149,0.000000
620,2707,2.698364,1.240686,ccw,56,56.0000,0.873187,1.015268,0.076647
620,2707,4.355767,1.174450,ccw,107,107.0000,0.790013,1.796099,0.053433
160,2709,3.169719,0.418534,ccw,184,184.0000,0.873591,13.260043,0.002317
168,2710,2.031651,0.404233,ccw,123,123.0000,0.783731,19.158637,0.065120
166,2712,4.567203,0.270079,ccw,394,394.0000,0.795927,26.052892,0.020728
121,2715,4.149326,1.443802,ccw,84,84.0000,0.763675,1.410933,0.077975
164,2717,2.347694,0.452182,ccw,137,137.0000,0.877962,8.690643,0.011464
162,2719,5.008670,1.550959,ccw,85,85.0000,0.826023,2.120715,0.000000
162,2719,4.057636,1.044190,ccw,103,103.0000,0.813498,2.633919,0.039219
635,2725,5.054857,0.210216,ccw,479,479.0000,0.833114,32.943815,0.000000
122,2731,5.538902,1.081378,ccw,138,138.0000,0.762930,2.085284,0.019420
127,2733,2.873590,0.393190,ccw,200,200.0000,0.763871,9.720105,0.038310
641,2740,2.559526,0.433721,ccw,156,156.0000,0.948219,8.039604,0.003834
649,2748,3.127592,0.268607,ccw,300,300.0000,0.797622,23.050767,0.077930
648,2751,2.236881,0.375348,ccw,147,147.0000,0.913909,8.785611,0.008481
517,2754,1.633777,1.630261,ccw,30,30.0000,0.945992,1.395980,0.047853
575,2758,6.118558,1.148384,ccw,159,159.0000,0.775307,2.067502,0.012674
578,2760,5.485440,1.345693,ccw,115,115.0000,0.820127,1.692641,0.000000
682,2762,2.708463,0.388388,ccw,175,175.0000,0.917295,19.333999,0.002276
692,2764,2.001770,0.546941,ccw,105,105.0000,0.934060,5.895302,0.006909
701,2767,3.158049,1.129974,ccw,77,77.0000,0.927801,2.540081,0.000000
701,2767,4.457695,0.624082,ccw,200,200.0000,0.744222,1.706084,0.026044
739,2772,2.870002,1.332956,ccw,57,57.0000,0.877479,2.099587,0.038397
739,2772,4.730294,0.774735,ccw,176,176.0000,0.808450,3.602842,0.000000
554,2787,2.798717,0.338247,ccw,215,215.0000,0.842940,14.459789,0.015410
554,2787,2.963986,0.436879,ccw,170,170.0000,0.870770,17.338140,0.008999
111,2797,3.779574,0.794726,ccw,130,130.0000,0.787957,3.153199,0.083088
111,2797,2.655968,1.325940,ccw,54,54.0000,0.894706,2.250974,0.065776
111,2797,3.663868,0.710698,ccw,148,148.0000,0.792157,4.043656,0.043207
690,2811,7.608599,1.249082,ccw,168,168.0000,0.804579,1.406329,0.000000
479,2816,6.332947,0.306037,ccw,443,443.0000,0.782471,22.483764,0.000000
707,2819,1.948813,0.376696,ccw,138,138.0000,0.834653,6.949232,0.048972
699,2827,3.313197,0.452895,ccw,180,180.0000,0.899806,10.756049,0.003937
699,2827,9.146620,0.436314,ccw,506,506.0000,0.939697,16.702651,0.000000
696,2829,15.470218,0.369949,ccw,938,938.0000,0.838324,20.037861,0.000000
736,2833,2.738825,0.467594,ccw,157,157.0000,0.956892,6.611980,0.000000
552,2835,3.895749,0.594367,ccw,140,140.0000,0.785226,3.049796,0.017011
552,2835,3.944558,0.450602,ccw,207,207.0000,0.800941,2.514280,0.005447
556,2836,1.855907,0.463566,ccw,102,102.0000,0.832407,4.220285,0.043261
556,2836,2.454365,0.685175,ccw,76,76.0000,0.846619,2.565561,0.050035
534,2838,3.712214,0.448582,ccw,196,196.0000,0.785306,2.557432,0.009037
533,2842,2.280808,0.122357,ccw,426,426.0000,0.933779,17.288656,0.081819
1007,2845,1.942626,0.397386,ccw,90,90.0000,0.935659,5.856386,0.009863
531,2848,3.712494,0.448864,ccw,195,195.0000,0.784603,2.568880,0.013323
572,2849,4.609829,0.395059,ccw,184,184.0000,0.606498,7.600317,0.093885
572,2849,3.686029,0.447487,ccw,194,194.0000,0.785811,2.609287,0.013323
689,2850,3.659048,0.448134,ccw,193,193.0000,0.795566,2.584408,0.009181
928,2851,3.683364,0.451927,ccw,194,194.0000,0.787054,2.572066,0.007384
129,2852,2.936574,0.394790,ccw,193,193.0000,0.778385,6.576886,0.032588
536,2853,4.560560,0.566686,ccw,177,177.0000,0.833975,4.477079,0.000000
539,2854,3.911916,0.447338,ccw,206,206.0000,0.783358,2.486781,0.008478
550,2855,3.940391,0.448439,ccw,207,207.0000,0.796257,2.489402,0.009448
687,2856,3.155156,0.491200,ccw,130,130.0000,0.806254,3.896032,0.013239
700,2857,3.934140,0.445463,ccw,207,207.0000,0.788041,2.492580,0.006431
710,2858,1.862994,0.391319,ccw,120,120.0000,0.821513,5.573777,0.054230
710,2858,3.862882,0.452415,ccw,202,202.0000,0.781184,2.479930,0.006975
574,2859,4.030545,0.457355,ccw,209,209.0000,0.811093,2.598462,0.002796
709,2860,3.728877,0.454848,ccw,196,196.0000,0.776381,2.583468,0.011743
712,2861,4.105929,0.572936,ccw,147,147.0000,0.894670,4.491368,0.000000
712,2861,3.759340,0.449024,ccw,198,198.0000,0.777661,2.579458,0.013129
712,2861,1.778337,-0.497801,cw,91,91.0000,-0.946428,7.629931,0.034758
920,2862,3.759690,0.449712,ccw,198,198.0000,0.769821,2.597929,0.014813
925,2863,1.747502,0.352566,ccw,108,108.0000,0.870415,4.057620,0.036669
925,2863,3.948962,0.449019,ccw,206,206.0000,0.794339,2.507371,0.008599
29,2865,3.951606,0.453348,ccw,207,207.0000,0.790459,2.501004,0.004751
476,2866,3.708645,0.450762,ccw,196,196.0000,0.788269,2.550100,0.006975
570,2867,3.587686,0.450110,ccw,190,190.0000,0.779718,2.611834,0.014813
570,2867,2.400929,-0.465927,cw,128,128.0000,-0.911501,9.015369,0.048616
576,2868,3.718711,0.450759,ccw,196,196.0000,0.792259,2.565487,0.007335
711,2869,3.293771,0.445594,ccw,177,177.0000,0.794475,2.603036,0.015979
713,2870,3.614652,0.445607,ccw,192,192.0000,0.785657,2.553575,0.013356
879,2872,3.697912,0.448686,ccw,195,195.0000,0.788233,2.642568,0.009336
962,2881,3.951287,0.450303,ccw,206,206.0000,0.794980,2.488339,0.008599
965,2882,3.604494,0.449772,ccw,191,191.0000,0.773754,2.589191,0.015901
1006,2886,3.496432,-0.053309,cw,1793,1793.0000,-0.903531,69.182221,0.014360
1047,2887,3.959337,0.447431,ccw,207,207.0000,0.781695,2.453348,0.008478
872,2894,3.181498,0.535695,ccw,147,147.0000,0.765062,5.453993,0.023858
927,2897,3.403047,0.453084,ccw,182,182.0000,0.796688,2.650047,0.011669
874,2904,3.770564,0.453408,ccw,197,197.0000,0.783476,2.583991,0.007631
874,2904,1.733939,-0.491016,cw,90,90.0000,-0.958924,7.623057,0.041121
933,2906,3.903230,0.444401,ccw,205,205.0000,0.796342,2.475761,0.008219
950,2907,1.752970,0.287275,ccw,150,150.0000,0.959811,6.100103,0.041781
971,2909,5.519217,0.597531,ccw,245,245.0000,0.772184,2.774376,0.007641
984,2910,2.424495,0.288414,ccw,224,224.0000,0.878358,11.036382,0.044299
990,2911,3.937802,0.448236,ccw,206,206.0000,0.794794,2.483551,0.008599
1043,2914,3.440299,0.446998,ccw,183,183.0000,0.781321,2.641121,0.015774
871,2917,2.860946,0.402655,ccw,185,185.0000,0.779004,6.661988,0.033546
